ref_insee,commune,wikipedia,surf_ha,epci,bassin_air,rectangle
38439,Crêts en Belledonne,fr:Crêts en Belledonne,3335,LeGresivaudan,,True
38078,La Chapelle-du-Bard,fr:La Chapelle-du-Bard,2700,LeGresivaudan,,True
38163,Le Haut-Bréda,fr:Le Haut-Bréda,11869,LeGresivaudan,,True
38258,Mont-Saint-Martin,fr:Mont-Saint-Martin (Isère),508,LaMetro,,True
38045,Biviers,fr:Biviers,623,LeGresivaudan,Bassin_Grenoble,True
38187,Le Gua,fr:Le Gua (Isère),2876,LaMetro,Bassin_Grenoble,True
38325,Proveysieux,fr:Proveysieux,2054,LaMetro,,True
38368,Saint-Blaise-du-Buis,fr:Saint-Blaise-du-Buis,562,PaysVoironnais,,True
38426,Saint-Maximin,fr:Saint-Maximin (Isère),1040,LeGresivaudan,,True
38039,Bernin,fr:Bernin (Isère),770,LeGresivaudan,Bassin_Grenoble,True
38501,Tencin,fr:Tencin,682,LeGresivaudan,Bassin_Grenoble,True
38075,Chapareillan,fr:Chapareillan,3061,LeGresivaudan,Bassin_Grenoble,True
38485,Seyssinet-Pariset,fr:Seyssinet-Pariset,1078,LaMetro,Bassin_Grenoble,True
38279,Notre-Dame-de-Mésage,fr:Notre-Dame-de-Mésage,458,LaMetro,Bassin_Grenoble,True
38252,Montchaboud,fr:Montchaboud,194,LaMetro,Bassin_Grenoble,True
38043,Bilieu,fr:Bilieu,763,PaysVoironnais,,True
38528,Vaulnaveys-le-Bas,fr:Vaulnaveys-le-Bas,1194,LaMetro,,True
38200,Jarrie,fr:Jarrie,1340,LaMetro,Bassin_Grenoble,True
38533,Venon,fr:Venon (Isère),434,LaMetro,Bassin_Grenoble,True
38529,Vaulnaveys-le-Haut,fr:Vaulnaveys-le-Haut,1667,LaMetro,Bassin_Grenoble,True
38082,Charavines,fr:Charavines,826,PaysVoironnais,,True
38422,Saint-Martin-d'Uriage,fr:Saint-Martin-d'Uriage,3566,LeGresivaudan,Bassin_Grenoble,True
38027,Barraux,fr:Barraux,1123,LeGresivaudan,Bassin_Grenoble,True
38524,Varces-Allières-et-Risset,fr:Varces-Allières-et-Risset,2069,LaMetro,Bassin_Grenoble,True
38002,Les Adrets,fr:Les Adrets,1625,LeGresivaudan,,True
38317,Le Pont-de-Claix,fr:Le Pont-de-Claix,566,LaMetro,Bassin_Grenoble,True
38431,Saint-Nazaire-les-Eymes,fr:Saint-Nazaire-les-Eymes,876,LeGresivaudan,Bassin_Grenoble,True
38062,La Buissière,fr:La Buissière,759,LeGresivaudan,Bassin_Grenoble,True
38504,Theys,fr:Theys,3602,LeGresivaudan,,True
38100,Le Cheylas,fr:Le Cheylas,853,LeGresivaudan,Bassin_Grenoble,True
38417,Sainte-Marie-d'Alloix,fr:Sainte-Marie-d'Alloix,306,LeGresivaudan,Bassin_Grenoble,True
38006,Allevard,fr:Allevard,3537,LeGresivaudan,,True
38314,Pontcharra,fr:Pontcharra,1594,LeGresivaudan,Bassin_Grenoble,True
38057,Bresson,fr:Bresson (Isère),278,LaMetro,Bassin_Grenoble,True
38562,Vizille,fr:Vizille,1090,LaMetro,Bassin_Grenoble,True
38309,Poisat,fr:Poisat,252,LaMetro,Bassin_Grenoble,True
38478,Séchilienne,fr:Séchilienne,2068,LaMetro,,True
38192,Hurtières,fr:Hurtières,341,LeGresivaudan,,True
38120,La Combe-de-Lancey,fr:La Combe-de-Lancey,1847,LeGresivaudan,,True
38430,Saint-Mury-Monteymond,fr:Saint-Mury-Monteymond,1106,LeGresivaudan,,True
38511,Le Touvet,fr:Le Touvet,1183,LeGresivaudan,Bassin_Grenoble,True
38418,Sainte-Marie-du-Mont,fr:Sainte-Marie-du-Mont (Isère),2398,LeGresivaudan,,True
38126,Corenc,fr:Corenc,618,LaMetro,Bassin_Grenoble,True
38372,Saint-Bueil,fr:Saint-Bueil,391,PaysVoironnais,,True
38386,Saint-Geoire-en-Valdaine,fr:Saint-Geoire-en-Valdaine,1674,PaysVoironnais,,True
38531,Velanne,fr:Velanne,813,PaysVoironnais,,True
38166,La Flachère,fr:La Flachère,289,LeGresivaudan,Bassin_Grenoble,True
38331,Réaumont,fr:Réaumont,503,PaysVoironnais,,True
38303,La Pierre,fr:La Pierre,324,LeGresivaudan,Bassin_Grenoble,True
38517,Tullins,fr:Tullins,2937,PaysVoironnais,Bassin_Grenoble,True
38235,Miribel-Lanchâtre,fr:Miribel-Lanchâtre,950,LaMetro,,True
38158,Eybens,fr:Eybens,454,LaMetro,Bassin_Grenoble,True
38229,Meylan,fr:Meylan,1265,LaMetro,Bassin_Grenoble,True
38421,Saint-Martin-d'Hères,fr:Saint-Martin-d'Hères,950,LaMetro,Bassin_Grenoble,True
38516,La Tronche,fr:La Tronche,645,LaMetro,Bassin_Grenoble,True
38362,Saint-Aupre,fr:Saint-Aupre,1201,PaysVoironnais,,True
38445,Saint-Pierre-de-Mésage,fr:Saint-Pierre-de-Mésage,704,LaMetro,Bassin_Grenoble,True
38071,Champ-sur-Drac,fr:Champ-sur-Drac,879,LaMetro,Bassin_Grenoble,True
38334,Revel,fr:Revel (Isère),2957,LeGresivaudan,,True
38068,Champagnier,fr:Champagnier,698,LaMetro,Bassin_Grenoble,True
38545,Vif,fr:Vif (Isère),2708,LaMetro,Bassin_Grenoble,True
38388,Saint-Georges-de-Commiers,fr:Saint-Georges-de-Commiers,1469,LaMetro,Bassin_Grenoble,True
38538,Le Versoud,fr:Le Versoud,614,LeGresivaudan,Bassin_Grenoble,True
38111,Claix,fr:Claix (Isère),2329,LaMetro,Bassin_Grenoble,True
38471,Le Sappey-en-Chartreuse,fr:Le Sappey-en-Chartreuse,1505,LaMetro,,True
38395,Plateau-des-Petites-Roches,fr:Plateau-des-Petites-Roches,3703,LeGresivaudan,,True
38206,Laval,fr:Laval-en-Belledonne,2555,LeGresivaudan,,True
38350,Sainte-Agnès,fr:Sainte-Agnès (Isère),2671,LeGresivaudan,,True
38061,La Buisse,fr:La Buisse,1173,PaysVoironnais,Bassin_Grenoble,True
38337,Rives,fr:Rives (Isère),1120,PaysVoironnais,Bassin_Grenoble,True
38400,Saint-Jean-de-Moirans,fr:Saint-Jean-de-Moirans,652,PaysVoironnais,Bassin_Grenoble,True
38150,Domène,fr:Domène,543,LaMetro,Bassin_Grenoble,True
38540,Veurey-Voroize,fr:Veurey-Voroize,1245,LaMetro,Bassin_Grenoble,True
38565,Voreppe,fr:Voreppe,2886,PaysVoironnais,Bassin_Grenoble,True
38170,Fontanil-Cornillon,fr:Fontanil-Cornillon,534,LaMetro,Bassin_Grenoble,True
38503,La Terrasse,fr:La Terrasse (Isère),909,LeGresivaudan,Bassin_Grenoble,True
38214,Lumbin,fr:Lumbin,660,LeGresivaudan,Bassin_Grenoble,True
38140,Crolles,fr:Crolles,1444,LeGresivaudan,Bassin_Grenoble,True
38486,Seyssins,fr:Seyssins,803,LaMetro,Bassin_Grenoble,True
